mle_true:,316.58130758397607
m,mle-linear,mle-nonlinear,policy-linear,policy-nonlinear,task-linear,task-nonlinear

100,446.1907818384557,515.6249389648438,542.4097900390625,539.29833984375,462.3103942871094,466.5146484375

200,396.74894498252763,424.137939453125,425.21136474609375,447.84710693359375,407.0296630859375,397.2673645019531

300,364.1231423484116,463.3396301269531,420.4472961425781,436.22210693359375,376.15081787109375,379.33831787109375

500,333.476373629844,435.7502746582031,419.5797119140625,408.8978271484375,358.3506164550781,368.5711364746094

1000,324.71792473393634,383.2862243652344,414.2301025390625,418.57867431640625,367.1611633300781,348.78314208984375

3000,318.313087480868,414.39093017578125,413.4665222167969,395.7148742675781,328.9638366699219,341.01751708984375

5000,319.2992450543196,387.74163818359375,412.4449462890625,396.77264404296875,322.3099060058594,326.3401184082031

10000,316.11402237983435,389.0369873046875,412.12420654296875,395.8136291503906,